"name";"url"
"javax.xml.datatype";"http://developer.android.com/reference/javax/xml/datatype/package-summary.html"
"javax.xml.namespace";"http://developer.android.com/reference/javax/xml/namespace/package-summary.html"
"javax.xml.parsers";"http://developer.android.com/reference/javax/xml/parsers/package-summary.html"
"javax.xml.transform";"http://developer.android.com/reference/javax/xml/transform/package-summary.html"
"javax.xml.transform.dom";"http://developer.android.com/reference/javax/xml/transform/dom/package-summary.html"
"javax.xml.transform.sax";"http://developer.android.com/reference/javax/xml/transform/sax/package-summary.html"
"javax.xml.transform.stream";"http://developer.android.com/reference/javax/xml/transform/stream/package-summary.html"
"javax.xml.validation";"http://developer.android.com/reference/javax/xml/validation/package-summary.html"
"javax.xml.xpath";"http://developer.android.com/reference/javax/xml/xpath/package-summary.html"
"junit.framework";"http://developer.android.com/reference/junit/framework/package-summary.html"
"junit.runner";"http://developer.android.com/reference/junit/runner/package-summary.html"
"KeyError1`";"https://docs.python.org/2/library/exceptions.html#exceptions.KeyError"
"org.apache.http.conn";"http://developer.android.com/reference/org/apache/http/conn/package-summary.html"
"org.apache.http.conn.scheme";"http://developer.android.com/reference/org/apache/http/conn/scheme/package-summary.html"
"org.apache.http.conn.ssl";"http://developer.android.com/reference/org/apache/http/conn/ssl/package-summary.html"
"org.apache.http.params";"http://developer.android.com/reference/org/apache/http/params/package-summary.html"
"org.json";"http://developer.android.com/reference/org/json/package-summary.html"
"org.w3c.dom";"http://developer.android.com/reference/org/w3c/dom/package-summary.html"
"org.w3c.dom.ls";"http://developer.android.com/reference/org/w3c/dom/ls/package-summary.html"
"org.xml.sax";"http://developer.android.com/reference/org/xml/sax/package-summary.html"
"org.xml.sax.ext";"http://developer.android.com/reference/org/xml/sax/ext/package-summary.html"
"org.xml.sax.helpers";"http://developer.android.com/reference/org/xml/sax/helpers/package-summary.html"
"org.xmlpull.v1";"http://developer.android.com/reference/org/xmlpull/v1/package-summary.html"
"org.xmlpull.v1.sax2";"http://developer.android.com/reference/org/xmlpull/v1/sax2/package-summary.html"
"PendingIntent";"http://developer.android.com/reference/android/app/PendingIntent.html"
"SystemClock";"http://developer.android.com/reference/android/os/SystemClock.html"
"UnicodeDecodeError";"https://docs.python.org/2/library/exceptions.html?highlight=unicodedecodeerror#exceptions.UnicodeDecodeError"
